route_id,source,destination,distance
1,ElPaso,Dallas,621
2,Dallas,ElPaso,629
3,ElPaso,Houston,804
4,Houston,ElPaso,765
5,ElPaso,Phoenix,500
6,Phoenix,ElPaso,488
7,ElPaso,Albuquerque,280
8,Albuquerque,ElPaso,272
9,ElPaso,SanAntonio,551
10,SanAntonio,ElPaso,564
11,ElPaso,Tucson,264
12,Tucson,ElPaso,268
13,ElPaso,LosAngeles,800
14,LosAngeles,ElPaso,831
15,ElPaso,Denver,800
16,Denver,ElPaso,766
17,Dallas,Chicago,921
18,Chicago,Dallas,913
19,Dallas,NewYork,1374
20,NewYork,Dallas,1309
21,Dallas,Houston,239
22,Houston,Dallas,232
23,Dallas,Atlanta,781
24,Atlanta,Dallas,781
25,Dallas,Nashville,664
26,Nashville,Dallas,632
27,Dallas,StLouis,630
28,StLouis,Dallas,611
29,Dallas,Denver,1026
30,Denver,Dallas,1041
31,Dallas,Memphis,452
32,Memphis,Dallas,454
33,Dallas,Charlotte,1100
34,Charlotte,Dallas,1069
35,Dallas,SanAntonio,274
36,SanAntonio,Dallas,276
37,Chicago,NewYork,790
38,NewYork,Chicago,814
39,Chicago,Atlanta,718
40,Atlanta,Chicago,682
41,Chicago,Detroit,281
42,Detroit,Chicago,289
43,Chicago,Minneapolis,411
44,Minneapolis,Chicago,419
45,Chicago,StLouis,300
46,StLouis,Chicago,295
47,Chicago,Boston,983
48,Boston,Chicago,949
49,Chicago,Denver,1003
50,Denver,Chicago,1048
51,Chicago,Memphis,531
52,Memphis,Chicago,522
53,Atlanta,Miami,662
54,Miami,Atlanta,635
55,Atlanta,Charlotte,244
56,Charlotte,Atlanta,234
57,Atlanta,Nashville,249
58,Nashville,Atlanta,257
59,Atlanta,Memphis,394
60,Memphis,Atlanta,398
61,Atlanta,Jacksonville,346
62,Jacksonville,Atlanta,356
63,Atlanta,Tampa,465
64,Tampa,Atlanta,475
65,Atlanta,Boston,1103
66,Boston,Atlanta,1106
67,Atlanta,NewYork,854
68,NewYork,Atlanta,894
69,Houston,Miami,1191
70,Miami,Houston,1176
71,Houston,NewYork,1631
72,NewYork,Houston,1639
73,Houston,Nashville,800
74,Nashville,Houston,826
75,Houston,Memphis,561
76,Memphis,Houston,567
77,Houston,SanAntonio,200
78,SanAntonio,Houston,207
79,Miami,NewYork,1280
80,NewYork,Miami,1289
81,Miami,Tampa,281
82,Tampa,Miami,286
83,Miami,Jacksonville,347
84,Jacksonville,Miami,331
85,Miami,Boston,1497
86,Boston,Miami,1456
87,NewYork,Boston,215
88,Boston,NewYork,210
89,NewYork,Detroit,613
90,Detroit,NewYork,587
91,NewYork,Charlotte,634
92,Charlotte,NewYork,617
93,Phoenix,LosAngeles,373
94,LosAngeles,Phoenix,358
95,Phoenix,LasVegas,297
96,LasVegas,Phoenix,290
97,Phoenix,Denver,602
98,Denver,Phoenix,610
99,Phoenix,SanDiego,355
100,SanDiego,Phoenix,350
101,Phoenix,SanFrancisco,750
102,SanFrancisco,Phoenix,740
103,Phoenix,Tucson,116
104,Tucson,Phoenix,112
105,Phoenix,Seattle,1421
106,Seattle,Phoenix,1387
107,LosAngeles,SanFrancisco,383
108,SanFrancisco,LosAngeles,399
109,LosAngeles,Seattle,1135
110,Seattle,LosAngeles,1151
111,LosAngeles,LasVegas,270
112,LasVegas,LosAngeles,272
113,LosAngeles,Portland,1086
114,Portland,LosAngeles,1050
115,LosAngeles,Denver,1020
116,Denver,LosAngeles,1043
117,SanFrancisco,Seattle,810
118,Seattle,SanFrancisco,782
119,SanFrancisco,Portland,640
120,Portland,SanFrancisco,632
121,SanFrancisco,Denver,1240
122,Denver,SanFrancisco,1300
123,SanFrancisco,LasVegas,570
124,LasVegas,SanFrancisco,577
125,Seattle,Portland,175
126,Portland,Seattle,175
127,Seattle,Denver,1321
128,Denver,Seattle,1345
129,Denver,StLouis,857
130,StLouis,Denver,886
131,Denver,Minneapolis,920
132,Minneapolis,Denver,945
133,Denver,Nashville,1120
134,Nashville,Denver,1089
135,Albuquerque,Phoenix,420
136,Phoenix,Albuquerque,400
137,Albuquerque,Denver,450
138,Denver,Albuquerque,441
139,Albuquerque,LasVegas,570
140,LasVegas,Albuquerque,556
141,Minneapolis,Detroit,693
142,Detroit,Minneapolis,672
143,Minneapolis,StLouis,466
144,StLouis,Minneapolis,486
145,Nashville,StLouis,310
146,StLouis,Nashville,304
147,Nashville,Memphis,210
148,Memphis,Nashville,213
149,Nashville,Charlotte,412
150,Charlotte,Nashville,407
151,Charlotte,Tampa,635
152,Tampa,Charlotte,661
153,Charlotte,Jacksonville,390
154,Jacksonville,Charlotte,388
155,Tucson,LasVegas,460
156,LasVegas,Tucson,448
157,Tucson,LosAngeles,490
158,LosAngeles,Tucson,493
159,Austin,Dallas,195
160,Dallas,Austin,190
161,Austin,Houston,162
162,Houston,Austin,163
163,Austin,SanAntonio,80
164,SanAntonio,Austin,83
165,Austin,Denver,960
166,Denver,Austin,950
167,Austin,ElPaso,530
168,ElPaso,Austin,515
169,Memphis,StLouis,285
170,StLouis,Memphis,299
171,Detroit,Boston,695
172,Boston,Detroit,663
173,Detroit,StLouis,530
174,StLouis,Detroit,509
175,Tampa,Jacksonville,200
176,Jacksonville,Tampa,198
177,SanDiego,LosAngeles,120
178,LosAngeles,SanDiego,120
179,SanDiego,LasVegas,330
180,LasVegas,SanDiego,345
181,LasVegas,Denver,760
182,Denver,LasVegas,794
